date,description,amount,category,merchant
2024-05-31,UPI/DR/314872255785/TEKHABRI AIRLINES/PUNB/tekhabri@paytm,369.51,travel,TEKHABRI
2024-02-16,UPI/DR/936653802748/CULT FIT/YESB/cult@okhdfcbank,4391.06,health,CULT FIT
2024-01-21,UPI/ATM CASH WITHDRAWAL/693656/YESB,1580.29,other,ATM CASH WITHDRAWAL
2024-01-13,ZINERA FOODS DELHI IN,1021.77,food,ZINERA
2024-06-09,POS ZEPTO,100.01,food,ZEPTO
2024-05-31,UPI/ARJUN REDDY/820715,426.83,other,P2P
2024-05-06,BILLPAY/ICICI PRUDENTIAL/09794122,12570.57,bills,ICICI PRUDENTIAL
2024-03-06,UPI-STARBUCKS-starbucks@ibl-052975161369,481.1,food,STARBUCKS
2024-05-30,POS 7354 SUBWAY HYDERABAD,191.73,food,SUBWAY
2024-02-04,POS PIZZA HUT,319.43,food,PIZZA HUT
2024-04-04,SHELL FUEL STATION BENGALURU IN,3557.01,travel,SHELL FUEL STATION
2024-06-11,VIJAY SALES*2491289,8886.67,shopping,VIJAY SALES
2024-01-09,UPI/IRCTC/129276,384.24,travel,IRCTC
2024-04-03,UPI/NFS CASH WDL/141864,15515.43,other,NFS CASH WDL
2024-02-24,UPI-BMTC BUS PASS-bmtc@paytm-625257150997,541.59,travel,BMTC BUS PASS
2024-05-01,UPI/HP GAS CYLINDER/185630,976.61,bills,HP GAS CYLINDER
2024-06-04,UPI/GROWW SIP/371611/KKBK,5598.88,other,GROWW SIP
2024-05-29,PUMA STORE*1703037,1879.06,shopping,PUMA STORE
2024-05-21,UPI/BMTC BUS PASS/724380/BARB,954.4,travel,BMTC BUS PASS
2024-06-08,UPI/DR/650518860167/PEZILU KITCHEN/UTIB/pezilu@paytm,1631.11,food,PEZILU
2024-06-09,UPI-MEESHO-meesho@axl-496935782434,935.12,shopping,MEESHO
2024-06-12,UPI/GROWW SIP/946920,3803.44,other,GROWW SIP
2024-06-06,UPI/MANOJ VERMA/DINNER SPLIT/040258,4952.23,other,P2P
2024-03-29,UPI/DR/814141397552/FAASOS/SBIN/faasos@ybl,540.81,food,FAASOS
2024-02-05,POS WESTSIDE,2573.46,shopping,WESTSIDE
2024-03-17,UPI-MINO AIRLINES-mino@okhdfcbank-607854833095,339.9,travel,MINO
2024-01-09,KAPE MEDICALS PUNE IN,4123.65,health,KAPE
2024-03-05,POS SHASHA COFFEE,1018.24,food,SHASHA
2024-02-23,TORA JEWELLERS*2300360,894.29,shopping,TORA
2024-03-18,BHARAT PETROLEUM MUMBAI IN,606.06,travel,BHARAT PETROLEUM
2024-01-11,UPI-CRED RENT PAYMENT-cred@paytm-362689047238,27898.21,rent,CRED RENT PAYMENT
2024-04-08,UPI/SPOTIFY INDIA/303942,129.27,entertainment,SPOTIFY INDIA
2024-06-17,UPI/DAPRALU CINEMAS/847719/SBIN,387.06,entertainment,DAPRALU
2024-02-25,PG*AMAZON PAY INDIA*61844626,2431.16,shopping,AMAZON PAY INDIA
2024-02-12,UPI/DR/471553132593/MAX HEALTHCARE/PUNB/max@ibl,23084.3,health,MAX HEALTHCARE
2024-05-11,POS/INDIGO AIRLINES GURGAON,2501.02,travel,INDIGO AIRLINES
2024-05-16,UPI/DR/866326634163/UDUPI GRAND/UTIB/udupi@paytm,448.14,food,UDUPI GRAND
2024-04-09,NEFT-27553779385-PRAGANVI MAINTENANCE-UTIB,2066.68,rent,PRAGANVI
2024-02-14,UPI-AIRTEL POSTPAID-airtel@okhdfcbank-101023200186,688.29,bills,AIRTEL POSTPAID
2024-05-07,UPI/DR/552165058714/FORTIS HOSPITAL/PUNB/fortis@oksbi,2918.37,health,FORTIS HOSPITAL
2024-06-05,UPI-VAPERA PG RENT-vapera@paytm-513305915419,4679.05,rent,VAPERA
2024-04-09,POS/THYROCARE PUNE,4195.79,health,THYROCARE
2024-04-06,POS/NAMMA METRO PUNE,644.23,travel,NAMMA METRO
2024-03-11,UPI/IKEA/209117,19265.5,shopping,IKEA
2024-05-23,UPI/SWATI BOSE/GIFT/098166,306.91,other,P2P
2024-01-09,MAX HEALTHCARE*0715238,7269.52,health,MAX HEALTHCARE
2024-01-23,UPI/RITU SINGH/276223,6316.51,other,P2P
2024-06-25,UPI/SMAAASH GAMING/532593/SBIN,499.87,entertainment,SMAAASH GAMING
2024-03-01,REDBUS INTERNET 776561,927.98,travel,REDBUS
2024-06-04,UPI/DR/972452841356/NFS CASH WDL/UTIB/nfs@oksbi,6896.93,other,NFS CASH WDL
2024-05-06,UPI/INDIAN OIL PETROL PUMP/334476,526.56,travel,INDIAN OIL PETROL PUMP
2024-05-06,BBPS/BESCOM ELECTRICITY/6484673574,2622.86,bills,BESCOM ELECTRICITY
2024-03-01,PG*VITOGAN APPAREL*37949994,3499.92,shopping,VITOGAN
2024-02-14,SORA FASHION ONLINE 59997737,1588.78,shopping,SORA
2024-04-10,UPI-DAVI CONCERT-davi@ybl-667005994696,1414.48,entertainment,DAVI
2024-04-15,UPI/DR/042059868569/SOKATEK TAXI/BARB/sokatek@ibl,3938.72,travel,SOKATEK
2024-05-15,UPI/LIC PREMIUM/113389,2104.78,bills,LIC PREMIUM
2024-05-23,UPI/BEHROUZ BIRYANI/968460,350.91,food,BEHROUZ BIRYANI
2024-06-25,DR LAL PATHLABS INTERNET 832812,2275.24,health,DR LAL PATHLABS
2024-06-27,BBPS/PROPERTY TAX/2241976878,8095.64,bills,PROPERTY TAX
2024-02-23,POS/ZOMATO MUMBAI,989.7,food,ZOMATO
2024-01-19,ACH DEBIT HDFC LIFE SEP,9133.82,bills,HDFC LIFE
2024-03-03,PEPPERFRY PUNE IN,2163.19,shopping,PEPPERFRY
2024-02-24,UPI/P2A/395945921185/AMIT MENON/BARB,2658.9,other,P2P
2024-06-08,UPI/HOSTEL FEE/991938,14893.66,rent,HOSTEL FEE
2024-05-28,ECS HP GAS CYLINDER 210262,851.4,bills,HP GAS CYLINDER
2024-03-19,PG*PRASOJO PETROL PUMP*25287835,129.8,travel,PRASOJO
2024-02-15,PG*DAJOLU ELECTRICITY*94071734,7101.22,bills,DAJOLU
2024-06-30,UPI/GOLDS GYM/094976/BARB,3660.87,health,GOLDS GYM
2024-04-21,POS/NYKAA GURGAON,2984.24,shopping,NYKAA
2024-01-11,APOLLO PHARMACY CHENNAI IN,105.45,health,APOLLO PHARMACY
2024-06-21,UPI/FAASOS/091901,232.14,food,FAASOS
2024-06-21,POS 6403 PIZZA HUT BENGALURU,307.78,food,PIZZA HUT
2024-01-23,UPI/DR LAL PATHLABS/198780/ICIC,477.08,health,DR LAL PATHLABS
2024-01-19,VATOBRI MOBILES*0822837,9549.43,shopping,VATOBRI
2024-01-11,VAGAN DENTAL HYDERABAD IN,2925.51,health,VAGAN
2024-06-19,UPI/BURGER KING/271111,398.74,food,BURGER KING
2024-04-08,ADANI ELECTRICITY*5512827,3428.55,bills,ADANI ELECTRICITY
2024-04-30,YOUTUBE PREMIUM ONLINE 09345962,178.69,entertainment,YOUTUBE PREMIUM
2024-06-17,UPI/DR/124998569847/BURGER KING/PUNB/burger@ybl,290.82,food,BURGER KING
2024-01-23,UPI-UBER INDIA-uber@paytm-586833901981,573.21,travel,UBER INDIA
2024-03-18,UPI-SHELL FUEL STATION-shell@oksbi-228777251996,891.31,travel,SHELL FUEL STATION
2024-02-26,UPI/MUTUAL FUND SIP/096739/BARB,13047.03,other,MUTUAL FUND SIP
2024-06-21,MIRAVI HEALTH HYDERABAD IN,5968.21,health,MIRAVI
2024-04-30,BEHROUZ BIRYANI DELHI IN,1255.03,food,BEHROUZ BIRYANI
2024-05-25,NACH/HOSTEL FEE/53079661,16326.56,rent,HOSTEL FEE
2024-05-12,IMPS/298872754422/RAGANHA PG RENT/HDFC,10587.73,rent,RAGANHA
2024-06-08,POS 9001 HALDIRAMS PUNE,839.22,food,HALDIRAMS
2024-01-08,UPI/PG ACCOMMODATION FEE/592741/YESB,11890.8,rent,PG ACCOMMODATION FEE
2024-04-19,UPI/DR/126678305573/JOVA FOODS/BARB/jova@ybl,1724.77,food,JOVA
2024-05-26,UPI-PESHANO CABS-peshano@ybl-418693032645,752.06,travel,PESHANO
2024-02-20,MAX FASHION ONLINE 60870662,3947.95,shopping,MAX FASHION
2024-04-15,UPI/KARTHIK VERMA/777342,253.98,other,P2P
2024-03-22,HAVASO FURNITURE DELHI IN,338.9,shopping,HAVASO
2024-04-27,UPI-NOLUVI MUSIC-noluvi@axl-098348492674,2003.81,entertainment,NOLUVI
2024-04-30,UPI/SHASHARA ELECTRONICS/867152,5092.87,shopping,SHASHARA
2024-01-12,NEFT/GANHAMI RENT/ICIC,10381.11,rent,GANHAMI
2024-04-12,UPI-GOLDS GYM-golds@ibl-466621591832,1206.68,health,GOLDS GYM
2024-04-01,POS/ZEE5 MUMBAI,646.0,entertainment,ZEE5
2024-06-10,UPI/DR/831727889579/DOMINOS PIZZA/PUNB/dominos@oksbi,343.31,food,DOMINOS PIZZA
2024-05-15,NYKAA DELHI IN,1025.44,shopping,NYKAA
2024-03-28,UPI/VANO MAINTENANCE/125672,4556.88,rent,VANO
2024-03-09,NEFT-09538557421-CRED RENT PAYMENT-PUNB,12044.1,rent,CRED RENT PAYMENT
2024-04-30,PG*OLA CABS*99795453,112.31,travel,OLA CABS
2024-06-22,POS 1500 ZIPRAHA PHARMACY KOLKATA,274.43,health,ZIPRAHA
2024-02-18,PEPPERFRY HYDERABAD IN,2619.9,shopping,PEPPERFRY
2024-01-12,UPI/P2A/322247081014/ARJUN IYER/YESB,5347.67,other,P2P
2024-03-10,POS MEDPLUS,340.59,health,MEDPLUS
2024-05-29,UPI-VAMIPRA TELECOM-vamipra@ybl-264009333963,3529.9,bills,VAMIPRA
2024-02-15,UPI/JOVA DHABA/761421/KKBK,60.22,food,JOVA
2024-02-14,CROMA ELECTRONICS INTERNET 236903,31059.53,shopping,CROMA ELECTRONICS
2024-02-04,BRIDAPRA MOBILES*1115255,11312.08,shopping,BRIDAPRA
2024-05-18,NEFT-72628296824-PG ACCOMMODATION FEE-UTIB,13243.99,rent,PG ACCOMMODATION FEE
2024-05-30,ECS NOPRA BROADBAND 777014,513.43,bills,NOPRA
2024-03-24,POS 4599 SMAAASH GAMING BENGALURU,2103.7,entertainment,SMAAASH GAMING
2024-03-13,UPI/DR/282997968845/UDUPI GRAND/BARB/udupi@oksbi,198.61,food,UDUPI GRAND
2024-05-27,UPI-IRCTC-irctc@axl-189490580778,1739.74,travel,IRCTC
2024-06-05,MIJOVA TIFFIN DELHI IN,1287.33,food,MIJOVA
2024-03-10,BILLPAY/VAMIPRA RECHARGE/66474264,6193.97,bills,VAMIPRA
2024-01-21,POS/MAX HEALTHCARE PUNE,21715.09,health,MAX HEALTHCARE
2024-04-19,UPI/MAKEMYTRIP/781376/BARB,10742.11,travel,MAKEMYTRIP
2024-03-04,PG*LENSKART*24403304,823.79,shopping,LENSKART
2024-06-29,NACH/ZINETEK BROADBAND/51902041,391.33,bills,ZINETEK
2024-01-22,CULT FIT BENGALURU IN,2080.37,health,CULT FIT
2024-04-02,UPI/RAGANHA PG RENT/692987,9632.2,rent,RAGANHA
2024-03-28,UPI-MAX HEALTHCARE-max@axl-443034918911,11290.71,health,MAX HEALTHCARE
2024-06-08,UPI/P2A/610340573689/ARJUN BOSE/YESB,3959.82,other,P2P
2024-02-27,UPI/P2A/169435328617/MANOJ IYER/HDFC,639.26,other,P2P
2024-06-13,UPI/DEEPAK SINGH/679066,3102.36,other,P2P
2024-06-19,IMPS/334421065100/GANHAMI HOSTEL/UTIB,27131.21,rent,GANHAMI
2024-01-14,UPI/DR/861205943897/NETFLIX/PUNB/netflix@ybl,574.05,entertainment,NETFLIX
2024-03-04,ECS BOOKMYSHOW 145264,255.9,entertainment,BOOKMYSHOW
2024-05-09,NEFT-05022892074-LUNE MAINTENANCE-KKBK,3932.14,rent,LUNE
2024-05-29,UPI/MIHAPRA CASH WITHDRAWAL/859356,10303.39,other,MIHAPRA
2024-05-12,UPI/NETMEDS/266913,496.23,health,NETMEDS
2024-01-10,UPI-PETO RAILWAY-peto@paytm-516215938967,3250.41,travel,PETO
2024-05-03,PG*BEHROUZ BIRYANI*58669346,428.04,food,BEHROUZ BIRYANI
2024-05-28,UPI/DR/351823374989/MCDONALDS/UTIB/mcdonalds@ybl,458.99,food,MCDONALDS
2024-01-01,BILLPAY/VAMIPRA INSURANCE/38447816,2238.51,bills,VAMIPRA
2024-01-09,UPI/SHASOTEK SIP/589377,123.67,other,SHASOTEK
2024-04-24,UPI/GANSO TRANSFER/700830/BARB,64.41,other,GANSO
2024-01-21,PG*MSEDCL*45663113,1183.09,bills,MSEDCL
2024-01-01,UPI-SMAAASH GAMING-smaaash@paytm-006157276829,1713.57,entertainment,SMAAASH GAMING
2024-05-11,JIO RECHARGE*5748352,488.64,bills,JIO RECHARGE
2024-06-26,ECS ZEE5 628969,663.11,entertainment,ZEE5
2024-03-15,POS/MAKEMYTRIP MUMBAI,6028.37,travel,MAKEMYTRIP
2024-04-14,JONEPE GIFTS*5179044,380.35,shopping,JONEPE
2024-06-06,UPI/NOLUVI GAMES/074456,307.78,entertainment,NOLUVI
2024-01-18,POS/DOMINOS PIZZA BENGALURU,345.9,food,DOMINOS PIZZA
2024-06-24,BILLPAY/TATA POWER/85201362,3336.54,bills,TATA POWER
2024-06-02,UPI/PEZILU BIRYANI/765047,107.26,food,PEZILU
2024-01-28,UPI/GOLDS GYM/420340,3696.94,health,GOLDS GYM
2024-03-06,UPI/GROWW SIP/728535/SBIN,507.68,other,GROWW SIP
2024-05-16,UPI/P2A/552615107055/KAVITA SINGH/BARB,2645.52,other,P2P
2024-01-15,GOLDS GYM INTERNET 400493,1611.64,health,GOLDS GYM
2024-03-18,LIFESTYLE STORES*1287585,1707.07,shopping,LIFESTYLE STORES
2024-01-19,UPI-STARBUCKS-starbucks@axl-203778892554,405.34,food,STARBUCKS
2024-02-12,POS/PRARALU WELLNESS CHENNAI,3604.62,health,PRARALU
2024-05-25,UPI/P2A/290005905451/MEERA GUPTA/BARB,204.95,other,P2P
2024-03-29,POS/IKEA BENGALURU,9417.56,shopping,IKEA
2024-05-27,UPI-HALDIRAMS-haldirams@paytm-562588153714,230.53,food,HALDIRAMS
2024-01-07,INOX MOVIES*6248433,1126.87,entertainment,INOX MOVIES
2024-05-19,UPI/DR/449153218011/PRAPRALU POSTPAID/SBIN/prapralu@ybl,7193.81,bills,PRAPRALU
2024-02-20,UPI/CHEQUE BOOK CHARGES/372954/KKBK,175.9,other,CHEQUE BOOK CHARGES
2024-05-15,NEFT-05646160762-CRED RENT PAYMENT-PUNB,11717.25,rent,CRED RENT PAYMENT
2024-04-14,TATA CLIQ*9026113,3661.69,shopping,TATA CLIQ
2024-06-21,UPI/VAVANO FEES/461426/ICIC,10286.98,other,VAVANO
2024-03-13,UPI/DEEPAK MENON/176762,1807.92,other,P2P
2024-06-12,UPI/STEAM GAMES/296575,1356.61,entertainment,STEAM GAMES
2024-03-23,UPI/DR/930485277586/GANRABRI SWEETS/BARB/ganrabri@ybl,629.93,food,GANRABRI
2024-04-22,UPI/INDIGO AIRLINES/207100/ICIC,2808.91,travel,INDIGO AIRLINES
2024-05-03,ECS PEPRA RECHARGE 662395,4202.23,bills,PEPRA
2024-02-03,TATA CLIQ ONLINE 86652683,918.35,shopping,TATA CLIQ
2024-05-21,NACH/JIO RECHARGE/92257090,936.76,bills,JIO RECHARGE
2024-05-16,IRCTC KOLKATA IN,2760.49,travel,IRCTC
2024-02-27,POS 2788 FAASOS CHENNAI,275.33,food,FAASOS
2024-02-21,PG*NETFLIX*32850725,298.97,entertainment,NETFLIX
2024-06-01,PG*HASHATEK WATER BILL*10822775,2891.91,bills,HASHATEK
2024-01-02,UPI-BRIPRA BUS-bripra@ybl-958663992879,393.8,travel,BRIPRA
2024-01-07,POS/MEESHO CHENNAI,1910.49,shopping,MEESHO
2024-05-18,UPI/AIRPORT TAXI PREPAID/256434/BARB,1273.42,travel,AIRPORT TAXI PREPAID
2024-03-16,POS ZEPTO,782.23,food,ZEPTO
2024-05-21,POS/TEKBRI COFFEE CHENNAI,1796.55,food,TEKBRI
2024-06-01,UPI-VIBRIVA MUSIC-vibriva@paytm-482987819214,2392.42,entertainment,VIBRIVA
2024-04-23,UPI/UDUPI GRAND/764520/YESB,311.28,food,UDUPI GRAND
2024-03-06,UPI/NFS CASH WDL/402338/PUNB,572.87,other,NFS CASH WDL
2024-06-24,UPI-OWNER RENT PAYMENT-owner@okhdfcbank-946766262359,36262.82,rent,OWNER RENT PAYMENT
2024-01-05,UPI/TEKTO PETROL PUMP/417996,476.04,travel,TEKTO
2024-06-03,POS/TATA CLIQ KOLKATA,6170.21,shopping,TATA CLIQ
2024-01-22,UPI/NITIN IYER/123280,1022.56,other,P2P
2024-01-12,POS PHARMEASY,188.43,health,PHARMEASY
2024-05-25,PG*PHARMEASY*82780205,1744.84,health,PHARMEASY
2024-06-17,UPI/ARJUN PATEL/DINNER SPLIT/690174,1476.37,other,P2P
2024-01-06,PG*MANIPAL HOSPITAL*23483893,21282.03,health,MANIPAL HOSPITAL
2024-06-14,UPI/DR/513542784980/ZOMATO/UTIB/zomato@axl,468.83,food,ZOMATO
2024-06-17,NEFT/PG ACCOMMODATION FEE/ICIC,5856.04,rent,PG ACCOMMODATION FEE
2024-06-11,STEAM GAMES ONLINE 07201137,1628.4,entertainment,STEAM GAMES
2024-05-02,UPI/HALDIRAMS/778528/ICIC,194.53,food,HALDIRAMS
2024-04-12,ACH DEBIT YOUTUBE PREMIUM DEC,131.59,entertainment,YOUTUBE PREMIUM
2024-04-27,UPI-LUHA INSURANCE-luha@ibl-943944101042,5436.24,bills,LUHA
2024-06-25,POS 8060 MINO PETROL PUMP KOLKATA,4769.09,travel,MINO
2024-01-05,UPI/DR/477725228728/SUBWAY/HDFC/subway@oksbi,155.61,food,SUBWAY
2024-01-13,POS 7159 PUMA STORE GURGAON,1519.37,shopping,PUMA STORE
2024-01-30,UPI/AIRTEL POSTPAID/108143/KKBK,1068.69,bills,AIRTEL POSTPAID
2024-02-03,UPI/MIKA LEASE/761898,16068.59,rent,MIKA
2024-01-19,PG*STEAM GAMES*00041321,616.17,entertainment,STEAM GAMES
2024-06-12,FLIPKART*3129014,8624.2,shopping,FLIPKART
2024-03-24,UPI-CHEQUE BOOK CHARGES-cheque@oksbi-348348358626,44.62,other,CHEQUE BOOK CHARGES
2024-03-20,BHARAT PETROLEUM DELHI IN,808.55,travel,BHARAT PETROLEUM
2024-03-18,UPI-TOTO TRAVELS-toto@paytm-042316979206,5536.9,travel,TOTO
2024-03-25,UPI/BIGBASKET/375265/UTIB,2037.86,food,BIGBASKET
2024-02-19,UPI/UBER INDIA/577027,190.58,travel,UBER INDIA
2024-03-13,POS 0124 TEKTO AIRLINES DELHI,330.39,travel,TEKTO
2024-02-16,IMPS/794190878865/SOCIETY MAINTENANCE/SBIN,2528.45,rent,SOCIETY MAINTENANCE
2024-05-24,UPI/DR/652156818209/CROMA ELECTRONICS/PUNB/croma@ibl,17658.24,shopping,CROMA ELECTRONICS
2024-02-25,UPI/SWATI JOSHI/437481,1146.05,other,P2P
2024-04-23,UPI/DR/227846997335/OLA CABS/UTIB/ola@oksbi,689.47,travel,OLA CABS
2024-06-30,UPI/DR/355543987801/FAASOS/KKBK/faasos@ibl,339.81,food,FAASOS
2024-02-02,UPI/DAHAVA MOVIES/719851/BARB,1297.85,entertainment,DAHAVA
2024-06-12,UPI/DR/381483747558/GROWW SIP/HDFC/groww@okhdfcbank,620.51,other,GROWW SIP
2024-03-12,PG*STEAM GAMES*00968730,653.88,entertainment,STEAM GAMES
2024-04-12,UPI/HDFC LIFE/713589,16403.04,bills,HDFC LIFE
2024-01-09,UPI/FUND TRANSFER/450295,3581.39,other,FUND TRANSFER
2024-03-15,UPI/MSEDCL/631043,680.96,bills,MSEDCL
2024-02-20,UPI-ICICI PRUDENTIAL-icici@ibl-041309091538,28638.44,bills,ICICI PRUDENTIAL
2024-02-25,UPI/DR/465861728470/LUGAN CASH WITHDRAWAL/SBIN/lugan@paytm,12601.91,other,LUGAN
2024-06-19,UPI/BANK CHARGES/740292/PUNB,597.53,other,BANK CHARGES
2024-05-02,HAVASO ELECTRONICS INTERNET 619773,5251.49,shopping,HAVASO
2024-04-05,POS 5544 SHADADA RAILWAY DELHI,251.63,travel,SHADADA
2024-05-11,POS/VISION EYE CARE KOLKATA,5004.05,health,VISION EYE CARE
2024-03-23,POS BMTC BUS PASS,233.99,travel,BMTC BUS PASS
2024-01-25,PG*TOSHASHA JEWELLERS*69223385,1643.88,shopping,TOSHASHA
2024-06-10,UPI/MANIPAL HOSPITAL/238595/YESB,888.86,health,MANIPAL HOSPITAL
2024-01-29,NEFT-55579420722-MIKA HOSTEL-SBIN,10338.56,rent,MIKA
2024-02-19,HOTSTAR ONLINE 27532735,299.42,entertainment,HOTSTAR
2024-01-13,UPI/DR/170166088019/BEHROUZ BIRYANI/UTIB/behrouz@oksbi,906.55,food,BEHROUZ BIRYANI
2024-06-11,POS/ZEPTO MUMBAI,127.74,food,ZEPTO
2024-01-29,UPI/CLOVE DENTAL/801864/UTIB,9235.65,health,CLOVE DENTAL
2024-01-11,NEFT/APARTMENT ASSOCIATION/KKBK,3146.07,rent,APARTMENT ASSOCIATION
2024-04-27,ACH D- VODAFONE IDEA-25503250,578.78,bills,VODAFONE IDEA
2024-01-24,UPI/CREDIT CARD BILL PAYMENT/869087,30966.09,bills,CREDIT CARD BILL PAYMENT
2024-02-15,UPI/DR/892686025922/UBER INDIA/ICIC/uber@okhdfcbank,90.7,travel,UBER INDIA
2024-01-03,POS SPOTIFY INDIA,197.27,entertainment,SPOTIFY INDIA
2024-04-11,KAVAKA JEWELLERS ONLINE 97681608,1523.53,shopping,KAVAKA
2024-02-19,UPI/DR/760954317350/FASTAG RECHARGE/KKBK/fastag@oksbi,2575.05,travel,FASTAG RECHARGE
2024-04-11,UPI/KAVITA IYER/DINNER SPLIT/975980,7968.83,other,P2P
2024-04-28,UPI/HP PETROL BUNK/597794/KKBK,621.97,travel,HP PETROL BUNK
2024-03-11,POS 1129 AJIO KOLKATA,427.79,shopping,AJIO
2024-03-27,UPI-NFS CASH WDL-nfs@okhdfcbank-788705841680,11458.06,other,NFS CASH WDL
2024-03-07,UPI/HOTEL SAGAR RESTAURANT/335658,841.07,food,HOTEL SAGAR RESTAURANT
2024-03-02,ACH DEBIT PROPERTY TAX DEC,3443.78,bills,PROPERTY TAX
2024-05-09,POS 1556 UBER INDIA BENGALURU,693.56,travel,UBER INDIA
2024-05-02,VIRA CABS INTERNET 830830,236.49,travel,VIRA
2024-01-26,UPI/AMIT RAO/PAYMENT/438964,1908.54,other,P2P
2024-05-05,UPI/DR/689334864970/SELF TRANSFER/SBIN/self@axl,28094.12,other,SELF TRANSFER
2024-01-30,UPI-BEHROUZ BIRYANI-behrouz@ybl-917798270808,1067.12,food,BEHROUZ BIRYANI
2024-06-02,BILLPAY/HDFC ERGO INSURANCE/97223996,7238.25,bills,HDFC ERGO INSURANCE
2024-03-15,UPI/DR/673887246163/TEKTO AIRLINES/HDFC/tekto@okhdfcbank,2824.24,travel,TEKTO
2024-03-23,ACH D- BESCOM ELECTRICITY-37014005,1103.26,bills,BESCOM ELECTRICITY
2024-05-02,NYKAA INTERNET 418620,687.68,shopping,NYKAA
2024-04-23,UPI/WONDERLA/376855/HDFC,2190.57,entertainment,WONDERLA
2024-03-24,UPI-PHARMEASY-pharmeasy@okhdfcbank-333510409614,2945.68,health,PHARMEASY
2024-01-04,UPI/SELF TRANSFER/555057/HDFC,48269.36,other,SELF TRANSFER
2024-06-30,UPI-AIRTEL POSTPAID-airtel@oksbi-999626970838,831.56,bills,AIRTEL POSTPAID
2024-04-02,AIRPORT TAXI PREPAID ONLINE 57397691,835.76,travel,AIRPORT TAXI PREPAID
2024-05-08,BBPS/TATA PLAY/7452735364,552.32,bills,TATA PLAY
2024-06-25,DECATHLON SPORTS INTERNET 904633,7610.05,shopping,DECATHLON SPORTS
2024-03-31,GOIBIBO*4794738,2436.63,travel,GOIBIBO
2024-04-13,UPI/HOUSE RENT/273202,11500.47,rent,HOUSE RENT
2024-02-22,KAPE DENTAL ONLINE 84981184,296.81,health,KAPE
2024-06-26,POS/CULT FIT BENGALURU,1182.93,health,CULT FIT
2024-03-08,UPI/KAJOSO INVESTMENTS/884246/SBIN,10108.68,other,KAJOSO
2024-06-27,UPI/KARTHIK KUMAR/055489,5911.24,other,P2P
2024-02-16,AIRPORT TAXI PREPAID ONLINE 34679121,692.29,travel,AIRPORT TAXI PREPAID
2024-03-15,POS 2885 BEHROUZ BIRYANI DELHI,963.39,food,BEHROUZ BIRYANI
2024-02-06,NEFT/TOTOKA LEASE/UTIB,10915.88,rent,TOTOKA
2024-05-28,LUDAPE CONCERT INTERNET 710017,765.25,entertainment,LUDAPE
2024-06-01,UPI/AIRTEL POSTPAID/898260/UTIB,542.77,bills,AIRTEL POSTPAID
2024-04-23,BURGER KING ONLINE 51585064,220.63,food,BURGER KING
2024-06-04,ECS VIGAN CONCERT 857133,1431.33,entertainment,VIGAN
2024-02-05,ACH DEBIT DAVI GAMING SEP,1930.93,entertainment,DAVI
2024-03-13,UPI/OWNER RENT PAYMENT/662295,9450.23,rent,OWNER RENT PAYMENT
2024-03-29,UPI/PEHA PHARMACY/120360,2064.35,health,PEHA
